@relation 'R_data_frame-weka.filters.unsupervised.attribute.Remove-R4,6-8,10,12,14'

@attribute team_a {'1. FC Kaiserslautern','1. FC Koln','1. FC Nurnberg','1. FSV Mainz 05','1860 Munchen','1899 Hoffenheim','Alemannia Aachen','Bayer 04 Leverkusen','Borussia Dortmund','Borussia Monchengladbach','DSC Arminia Bielefeld','Eintracht Frankfurt','FC Augsburg','FC Bayern Munchen','FC Energie Cottbus','FC Schalke 04','FC St. Pauli','Hamburger SV','Hannover 96','Hansa Rostock','Hertha BSC Berlin','Karlsruher SC','MSV Duisburg','SC Freiburg','SpVgg Unterhaching','SV Werder Bremen','VfB Stuttgart','VfL Bochum','VfL Wolfsburg'}
@attribute team_b {'1. FC Kaiserslautern','1. FC Koln','1. FC Nurnberg','1. FSV Mainz 05','1860 Munchen','1899 Hoffenheim','Alemannia Aachen','Bayer 04 Leverkusen','Borussia Dortmund','Borussia Monchengladbach','DSC Arminia Bielefeld','Eintracht Frankfurt','FC Augsburg','FC Bayern Munchen','FC Energie Cottbus','FC Schalke 04','FC St. Pauli','Hamburger SV','Hannover 96','Hansa Rostock','Hertha BSC Berlin','Karlsruher SC','MSV Duisburg','SC Freiburg','SpVgg Unterhaching','SV Werder Bremen','VfB Stuttgart','VfL Bochum','VfL Wolfsburg'}
@attribute spieltag numeric
@attribute saison_weight numeric
@attribute sun_a {S,U,N}
@attribute place_a numeric
@attribute place_b numeric
@attribute wins_pro_a numeric
@attribute points_pro_a numeric
@attribute wins_pro_b numeric
@attribute points_pro_b numeric
@attribute hg_01 numeric

@data
'1. FC Koln','SC Freiburg',3,1,U,10,6,0.352941,0.45098,0.441176,0.539216,2
'FC Energie Cottbus','FC Schalke 04',3,1,N,14,2,0.352941,0.382353,0.529412,0.607843,2
'VfB Stuttgart','1. FC Kaiserslautern',3,1,N,15,8,0.264706,0.372549,0.441176,0.490196,2
'SpVgg Unterhaching','Bayer 04 Leverkusen',3,1,N,16,4,0.235294,0.343137,0.5,0.558824,2
'SV Werder Bremen','Hamburger SV',3,1,N,7,13,0.441176,0.519608,0.294118,0.401961,2
'1860 Munchen','Borussia Dortmund',3,1,S,11,3,0.352941,0.431373,0.470588,0.568627,2
'VfL Bochum','Hertha BSC Berlin',3,1,N,18,5,0.205882,0.264706,0.529412,0.54902,2
'VfL Wolfsburg','FC Bayern Munchen',3,1,N,9,1,0.352941,0.460784,0.558824,0.617647,2
'Hansa Rostock','Eintracht Frankfurt',3,1,N,12,17,0.352941,0.421569,0.294118,0.343137,2
'SpVgg Unterhaching','1. FC Kaiserslautern',4,1,U,16,8,0.235294,0.343137,0.441176,0.490196,1
'1860 Munchen','FC Schalke 04',4,1,U,11,2,0.352941,0.431373,0.529412,0.607843,1
'VfB Stuttgart','FC Bayern Munchen',4,1,S,15,1,0.264706,0.372549,0.558824,0.617647,1
'VfL Wolfsburg','Hertha BSC Berlin',4,1,S,9,5,0.352941,0.460784,0.529412,0.54902,1
'1. FC Koln','Bayer 04 Leverkusen',4,1,U,10,4,0.352941,0.45098,0.5,0.558824,1
'VfL Bochum','Hamburger SV',4,1,N,18,13,0.205882,0.264706,0.294118,0.401961,1
'SV Werder Bremen','Borussia Dortmund',4,1,N,7,3,0.441176,0.519608,0.470588,0.568627,1
'Hansa Rostock','SC Freiburg',4,1,U,12,6,0.352941,0.421569,0.441176,0.539216,1
'FC Energie Cottbus','Eintracht Frankfurt',4,1,S,14,17,0.352941,0.382353,0.294118,0.343137,1
'1. FC Kaiserslautern','SpVgg Unterhaching',4,1,U,8,16,0.441176,0.490196,0.235294,0.343137,2
'FC Schalke 04','1860 Munchen',4,1,U,2,11,0.529412,0.607843,0.352941,0.431373,2
'FC Bayern Munchen','VfB Stuttgart',4,1,N,1,15,0.558824,0.617647,0.264706,0.372549,2
'Hertha BSC Berlin','VfL Wolfsburg',4,1,N,5,9,0.529412,0.54902,0.352941,0.460784,2
'Bayer 04 Leverkusen','1. FC Koln',4,1,U,4,10,0.5,0.558824,0.352941,0.45098,2
'Hamburger SV','VfL Bochum',4,1,S,13,18,0.294118,0.401961,0.205882,0.264706,2
'Borussia Dortmund','SV Werder Bremen',4,1,S,3,7,0.470588,0.568627,0.441176,0.519608,2
'SC Freiburg','Hansa Rostock',4,1,U,6,12,0.441176,0.539216,0.352941,0.421569,2
'Eintracht Frankfurt','FC Energie Cottbus',4,1,N,17,14,0.294118,0.343137,0.352941,0.382353,2
'1. FC Kaiserslautern','1. FC Koln',5,1,S,8,10,0.441176,0.490196,0.352941,0.45098,1
'Bayer 04 Leverkusen','Hansa Rostock',5,1,N,4,12,0.5,0.558824,0.352941,0.421569,1
'VfL Bochum','VfL Wolfsburg',5,1,S,18,9,0.205882,0.264706,0.352941,0.460784,1
'Eintracht Frankfurt','1860 Munchen',5,1,S,17,11,0.294118,0.343137,0.352941,0.431373,1
'SC Freiburg','FC Energie Cottbus',5,1,S,6,14,0.441176,0.539216,0.352941,0.382353,1
'Hamburger SV','Borussia Dortmund',5,1,N,13,3,0.294118,0.401961,0.470588,0.568627,1
'FC Bayern Munchen','SpVgg Unterhaching',5,1,S,1,16,0.558824,0.617647,0.235294,0.343137,1
'Hertha BSC Berlin','VfB Stuttgart',5,1,S,5,15,0.529412,0.54902,0.264706,0.372549,1
'FC Schalke 04','SV Werder Bremen',5,1,U,2,7,0.529412,0.607843,0.441176,0.519608,1
'1. FC Koln','1. FC Kaiserslautern',5,1,N,10,8,0.352941,0.45098,0.441176,0.490196,2
'Hansa Rostock','Bayer 04 Leverkusen',5,1,S,12,4,0.352941,0.421569,0.5,0.558824,2
'VfL Wolfsburg','VfL Bochum',5,1,N,9,18,0.352941,0.460784,0.205882,0.264706,2
