@relation 'R_data_frame-weka.filters.unsupervised.attribute.Remove-R4,6-8,10,12,14'

@attribute team_a {'1. FC Kaiserslautern','1. FC Koln','1. FC Nurnberg','1. FSV Mainz 05','1860 Munchen','1899 Hoffenheim','Alemannia Aachen','Bayer 04 Leverkusen','Borussia Dortmund','Borussia Monchengladbach','DSC Arminia Bielefeld','Eintracht Frankfurt','FC Augsburg','FC Bayern Munchen','FC Energie Cottbus','FC Schalke 04','FC St. Pauli','Hamburger SV','Hannover 96','Hansa Rostock','Hertha BSC Berlin','Karlsruher SC','MSV Duisburg','SC Freiburg','SpVgg Unterhaching','SV Werder Bremen','VfB Stuttgart','VfL Bochum','VfL Wolfsburg'}
@attribute team_b {'1. FC Kaiserslautern','1. FC Koln','1. FC Nurnberg','1. FSV Mainz 05','1860 Munchen','1899 Hoffenheim','Alemannia Aachen','Bayer 04 Leverkusen','Borussia Dortmund','Borussia Monchengladbach','DSC Arminia Bielefeld','Eintracht Frankfurt','FC Augsburg','FC Bayern Munchen','FC Energie Cottbus','FC Schalke 04','FC St. Pauli','Hamburger SV','Hannover 96','Hansa Rostock','Hertha BSC Berlin','Karlsruher SC','MSV Duisburg','SC Freiburg','SpVgg Unterhaching','SV Werder Bremen','VfB Stuttgart','VfL Bochum','VfL Wolfsburg'}
@attribute spieltag numeric
@attribute saison_weight numeric
@attribute sun_a {S,U,N}
@attribute place_a numeric
@attribute place_b numeric
@attribute wins_pro_a numeric
@attribute points_pro_a numeric
@attribute wins_pro_b numeric
@attribute points_pro_b numeric
@attribute hg_01 numeric

@data
'Hertha BSC Berlin','Hansa Rostock',31,2,S,4,14,0.529412,0.598039,0.264706,0.333333,1
'1860 Munchen','SC Freiburg',31,2,S,9,16,0.441176,0.490196,0.205882,0.294118,1
'SV Werder Bremen','FC Schalke 04',31,2,S,6,5,0.5,0.54902,0.529412,0.598039,1
'1. FC Nurnberg','FC Bayern Munchen',31,2,N,15,3,0.294118,0.333333,0.588235,0.666667,1
'1. FC Koln','FC St. Pauli',31,2,S,17,18,0.205882,0.284314,0.117647,0.215686,1
'Hamburger SV','Bayer 04 Leverkusen',31,2,U,11,2,0.294118,0.392157,0.617647,0.676471,1
'Borussia Monchengladbach','VfL Wolfsburg',31,2,N,12,10,0.264706,0.382353,0.382353,0.45098,1
'1. FC Kaiserslautern','Borussia Dortmund',31,2,S,7,1,0.5,0.54902,0.617647,0.686275,1
'VfB Stuttgart','FC Energie Cottbus',31,2,U,8,13,0.382353,0.490196,0.264706,0.343137,1
'Hansa Rostock','Hertha BSC Berlin',31,2,N,14,4,0.264706,0.333333,0.529412,0.598039,2
'SC Freiburg','1860 Munchen',31,2,N,16,9,0.205882,0.294118,0.441176,0.490196,2
'FC Schalke 04','SV Werder Bremen',31,2,N,5,6,0.529412,0.598039,0.5,0.54902,2
'FC Bayern Munchen','1. FC Nurnberg',31,2,S,3,15,0.588235,0.666667,0.294118,0.333333,2
'FC St. Pauli','1. FC Koln',31,2,N,18,17,0.117647,0.215686,0.205882,0.284314,2
'Bayer 04 Leverkusen','Hamburger SV',31,2,U,2,11,0.617647,0.676471,0.294118,0.392157,2
'VfL Wolfsburg','Borussia Monchengladbach',31,2,S,10,12,0.382353,0.45098,0.264706,0.382353,2
'Borussia Dortmund','1. FC Kaiserslautern',31,2,N,1,7,0.617647,0.686275,0.5,0.54902,2
'FC Energie Cottbus','VfB Stuttgart',31,2,U,13,8,0.264706,0.343137,0.382353,0.490196,2
'FC St. Pauli','Hamburger SV',32,2,N,18,11,0.117647,0.215686,0.294118,0.392157,1
'FC Energie Cottbus','1860 Munchen',32,2,U,13,9,0.264706,0.343137,0.441176,0.490196,1
'FC Bayern Munchen','Hertha BSC Berlin',32,2,S,3,4,0.588235,0.666667,0.529412,0.598039,1
'VfL Wolfsburg','Hansa Rostock',32,2,S,10,14,0.382353,0.45098,0.264706,0.333333,1
'Borussia Dortmund','1. FC Koln',32,2,S,1,17,0.617647,0.686275,0.205882,0.284314,1
'FC Schalke 04','1. FC Nurnberg',32,2,S,5,15,0.529412,0.598039,0.294118,0.333333,1
'Bayer 04 Leverkusen','SV Werder Bremen',32,2,N,2,6,0.617647,0.676471,0.5,0.54902,1
'SC Freiburg','1. FC Kaiserslautern',32,2,S,16,7,0.205882,0.294118,0.5,0.54902,1
'Borussia Monchengladbach','VfB Stuttgart',32,2,U,12,8,0.264706,0.382353,0.382353,0.490196,1
'Hamburger SV','FC St. Pauli',32,2,S,11,18,0.294118,0.392157,0.117647,0.215686,2
'1860 Munchen','FC Energie Cottbus',32,2,U,9,13,0.441176,0.490196,0.264706,0.343137,2
'Hertha BSC Berlin','FC Bayern Munchen',32,2,N,4,3,0.529412,0.598039,0.588235,0.666667,2
'Hansa Rostock','VfL Wolfsburg',32,2,N,14,10,0.264706,0.333333,0.382353,0.45098,2
'1. FC Koln','Borussia Dortmund',32,2,N,17,1,0.205882,0.284314,0.617647,0.686275,2
'1. FC Nurnberg','FC Schalke 04',32,2,N,15,5,0.294118,0.333333,0.529412,0.598039,2
'SV Werder Bremen','Bayer 04 Leverkusen',32,2,S,6,2,0.5,0.54902,0.617647,0.676471,2
'1. FC Kaiserslautern','SC Freiburg',32,2,N,7,16,0.5,0.54902,0.205882,0.294118,2
'VfB Stuttgart','Borussia Monchengladbach',32,2,U,8,12,0.382353,0.490196,0.264706,0.382353,2
'Hansa Rostock','Borussia Monchengladbach',33,2,U,14,12,0.264706,0.333333,0.264706,0.382353,1
'1860 Munchen','VfB Stuttgart',33,2,U,9,8,0.441176,0.490196,0.382353,0.490196,1
'Hamburger SV','Borussia Dortmund',33,2,N,11,1,0.294118,0.392157,0.617647,0.686275,1
'1. FC Nurnberg','Bayer 04 Leverkusen',33,2,S,15,2,0.294118,0.333333,0.617647,0.676471,1
'1. FC Kaiserslautern','FC Energie Cottbus',33,2,S,7,13,0.5,0.54902,0.264706,0.343137,1
'SV Werder Bremen','FC St. Pauli',33,2,S,6,18,0.5,0.54902,0.117647,0.215686,1
'Hertha BSC Berlin','FC Schalke 04',33,2,S,4,5,0.529412,0.598039,0.529412,0.598039,1
'VfL Wolfsburg','FC Bayern Munchen',33,2,N,10,3,0.382353,0.45098,0.588235,0.666667,1
'1. FC Koln','SC Freiburg',33,2,S,17,16,0.205882,0.284314,0.205882,0.294118,1
'Borussia Monchengladbach','Hansa Rostock',33,2,U,12,14,0.264706,0.382353,0.264706,0.333333,2
'VfB Stuttgart','1860 Munchen',33,2,U,8,9,0.382353,0.490196,0.441176,0.490196,2
'Borussia Dortmund','Hamburger SV',33,2,S,1,11,0.617647,0.686275,0.294118,0.392157,2
'Bayer 04 Leverkusen','1. FC Nurnberg',33,2,N,2,15,0.617647,0.676471,0.294118,0.333333,2
'FC Energie Cottbus','1. FC Kaiserslautern',33,2,N,13,7,0.264706,0.343137,0.5,0.54902,2
'FC St. Pauli','SV Werder Bremen',33,2,N,18,6,0.117647,0.215686,0.5,0.54902,2
'FC Schalke 04','Hertha BSC Berlin',33,2,N,5,4,0.529412,0.598039,0.529412,0.598039,2
'FC Bayern Munchen','VfL Wolfsburg',33,2,S,3,10,0.588235,0.666667,0.382353,0.45098,2
'SC Freiburg','1. FC Koln',33,2,N,16,17,0.205882,0.294118,0.205882,0.284314,2
'SC Freiburg','Hamburger SV',34,2,S,16,11,0.205882,0.294118,0.294118,0.392157,1
'FC St. Pauli','1. FC Nurnberg',34,2,N,18,15,0.117647,0.215686,0.294118,0.333333,1
'FC Schalke 04','VfL Wolfsburg',34,2,N,5,10,0.529412,0.598039,0.382353,0.45098,1
'Borussia Dortmund','SV Werder Bremen',34,2,S,1,6,0.617647,0.686275,0.5,0.54902,1
'Borussia Monchengladbach','1860 Munchen',34,2,N,12,9,0.264706,0.382353,0.441176,0.490196,1
'VfB Stuttgart','1. FC Kaiserslautern',34,2,S,8,7,0.382353,0.490196,0.5,0.54902,1
'FC Bayern Munchen','Hansa Rostock',34,2,S,3,14,0.588235,0.666667,0.264706,0.333333,1
'FC Energie Cottbus','1. FC Koln',34,2,N,13,17,0.264706,0.343137,0.205882,0.284314,1
'Bayer 04 Leverkusen','Hertha BSC Berlin',34,2,S,2,4,0.617647,0.676471,0.529412,0.598039,1
'Hamburger SV','SC Freiburg',34,2,N,11,16,0.294118,0.392157,0.205882,0.294118,2
'1. FC Nurnberg','FC St. Pauli',34,2,S,15,18,0.294118,0.333333,0.117647,0.215686,2
'VfL Wolfsburg','FC Schalke 04',34,2,S,10,5,0.382353,0.45098,0.529412,0.598039,2
'SV Werder Bremen','Borussia Dortmund',34,2,N,6,1,0.5,0.54902,0.617647,0.686275,2
'1860 Munchen','Borussia Monchengladbach',34,2,S,9,12,0.441176,0.490196,0.264706,0.382353,2
'1. FC Kaiserslautern','VfB Stuttgart',34,2,N,7,8,0.5,0.54902,0.382353,0.490196,2
'Hansa Rostock','FC Bayern Munchen',34,2,N,14,3,0.264706,0.333333,0.588235,0.666667,2
'1. FC Koln','FC Energie Cottbus',34,2,S,17,13,0.205882,0.284314,0.264706,0.343137,2
'Hertha BSC Berlin','Bayer 04 Leverkusen',34,2,N,4,2,0.529412,0.598039,0.617647,0.676471,2
'Borussia Dortmund','Hertha BSC Berlin',1,3,U,3,5,0.441176,0.568627,0.470588,0.529412,1
'FC Energie Cottbus','Bayer 04 Leverkusen',1,3,U,18,15,0.205882,0.294118,0.323529,0.392157,1
'1. FC Nurnberg','VfL Bochum',1,3,N,17,9,0.235294,0.294118,0.352941,0.441176,1
'VfB Stuttgart','1. FC Kaiserslautern',1,3,U,2,14,0.5,0.578431,0.294118,0.392157,1
'FC Schalke 04','VfL Wolfsburg',1,3,S,7,8,0.352941,0.480392,0.382353,0.45098,1
'Borussia Monchengladbach','FC Bayern Munchen',1,3,U,12,1,0.323529,0.411765,0.676471,0.735294,1
'Hamburger SV','Hannover 96',1,3,S,4,11,0.441176,0.54902,0.352941,0.421569,1
'DSC Arminia Bielefeld','SV Werder Bremen',1,3,S,16,6,0.235294,0.352941,0.470588,0.509804,1
'1860 Munchen','Hansa Rostock',1,3,N,10,13,0.352941,0.441176,0.323529,0.401961,1
'Hertha BSC Berlin','Borussia Dortmund',1,3,U,5,3,0.470588,0.529412,0.441176,0.568627,2
'Bayer 04 Leverkusen','FC Energie Cottbus',1,3,U,15,18,0.323529,0.392157,0.205882,0.294118,2
'VfL Bochum','1. FC Nurnberg',1,3,S,9,17,0.352941,0.441176,0.235294,0.294118,2
'1. FC Kaiserslautern','VfB Stuttgart',1,3,U,14,2,0.294118,0.392157,0.5,0.578431,2
'VfL Wolfsburg','FC Schalke 04',1,3,N,8,7,0.382353,0.45098,0.352941,0.480392,2
'FC Bayern Munchen','Borussia Monchengladbach',1,3,U,1,12,0.676471,0.735294,0.323529,0.411765,2
'Hannover 96','Hamburger SV',1,3,N,11,4,0.352941,0.421569,0.441176,0.54902,2
'SV Werder Bremen','DSC Arminia Bielefeld',1,3,N,6,16,0.470588,0.509804,0.235294,0.352941,2
'Hansa Rostock','1860 Munchen',1,3,S,13,10,0.323529,0.401961,0.352941,0.441176,2
'Hannover 96','1860 Munchen',2,3,N,11,10,0.352941,0.421569,0.352941,0.441176,1
'Hansa Rostock','1. FC Nurnberg',2,3,S,13,17,0.323529,0.401961,0.235294,0.294118,1
'Hertha BSC Berlin','VfB Stuttgart',2,3,U,5,2,0.470588,0.529412,0.5,0.578431,1
'FC Bayern Munchen','DSC Arminia Bielefeld',2,3,S,1,16,0.676471,0.735294,0.235294,0.352941,1
'Bayer 04 Leverkusen','Borussia Dortmund',2,3,U,15,3,0.323529,0.392157,0.441176,0.568627,1
'1. FC Kaiserslautern','FC Schalke 04',2,3,N,14,7,0.294118,0.392157,0.352941,0.480392,1
'VfL Bochum','FC Energie Cottbus',2,3,S,9,18,0.352941,0.441176,0.205882,0.294118,1
'SV Werder Bremen','Hamburger SV',2,3,S,6,4,0.470588,0.509804,0.441176,0.54902,1
'VfL Wolfsburg','Borussia Monchengladbach',2,3,S,8,12,0.382353,0.45098,0.323529,0.411765,1
'1860 Munchen','Hannover 96',2,3,S,10,11,0.352941,0.441176,0.352941,0.421569,2
'1. FC Nurnberg','Hansa Rostock',2,3,N,17,13,0.235294,0.294118,0.323529,0.401961,2
'VfB Stuttgart','Hertha BSC Berlin',2,3,U,2,5,0.5,0.578431,0.470588,0.529412,2
'DSC Arminia Bielefeld','FC Bayern Munchen',2,3,N,16,1,0.235294,0.352941,0.676471,0.735294,2
'Borussia Dortmund','Bayer 04 Leverkusen',2,3,U,3,15,0.441176,0.568627,0.323529,0.392157,2
'FC Schalke 04','1. FC Kaiserslautern',2,3,S,7,14,0.352941,0.480392,0.294118,0.392157,2
'FC Energie Cottbus','VfL Bochum',2,3,N,18,9,0.205882,0.294118,0.352941,0.441176,2
'Hamburger SV','SV Werder Bremen',2,3,N,4,6,0.441176,0.54902,0.470588,0.509804,2
'Borussia Monchengladbach','VfL Wolfsburg',2,3,N,12,8,0.323529,0.411765,0.382353,0.45098,2
'Hamburger SV','FC Bayern Munchen',3,3,N,4,1,0.441176,0.54902,0.676471,0.735294,1
'FC Energie Cottbus','Hansa Rostock',3,3,N,18,13,0.205882,0.294118,0.323529,0.401961,1
'Borussia Monchengladbach','1. FC Kaiserslautern',3,3,S,12,14,0.323529,0.411765,0.294118,0.392157,1
'1860 Munchen','SV Werder Bremen',3,3,S,10,6,0.352941,0.441176,0.470588,0.509804,1
'Bayer 04 Leverkusen','VfL Bochum',3,3,N,15,9,0.323529,0.392157,0.352941,0.441176,1
'Borussia Dortmund','VfB Stuttgart',3,3,S,3,2,0.441176,0.568627,0.5,0.578431,1
'DSC Arminia Bielefeld','VfL Wolfsburg',3,3,S,16,8,0.235294,0.352941,0.382353,0.45098,1
'FC Schalke 04','Hertha BSC Berlin',3,3,U,7,5,0.352941,0.480392,0.470588,0.529412,1
'1. FC Nurnberg','Hannover 96',3,3,S,17,11,0.235294,0.294118,0.352941,0.421569,1
'FC Bayern Munchen','Hamburger SV',3,3,S,1,4,0.676471,0.735294,0.441176,0.54902,2
'Hansa Rostock','FC Energie Cottbus',3,3,S,13,18,0.323529,0.401961,0.205882,0.294118,2
'1. FC Kaiserslautern','Borussia Monchengladbach',3,3,N,14,12,0.294118,0.392157,0.323529,0.411765,2
'SV Werder Bremen','1860 Munchen',3,3,N,6,10,0.470588,0.509804,0.352941,0.441176,2
'VfL Bochum','Bayer 04 Leverkusen',3,3,S,9,15,0.352941,0.441176,0.323529,0.392157,2
'VfB Stuttgart','Borussia Dortmund',3,3,N,2,3,0.5,0.578431,0.441176,0.568627,2
'VfL Wolfsburg','DSC Arminia Bielefeld',3,3,N,8,16,0.382353,0.45098,0.235294,0.352941,2
'Hertha BSC Berlin','FC Schalke 04',3,3,U,5,7,0.470588,0.529412,0.352941,0.480392,2
'Hannover 96','1. FC Nurnberg',3,3,N,11,17,0.352941,0.421569,0.235294,0.294118,2
'Hertha BSC Berlin','Borussia Monchengladbach',4,3,N,5,12,0.470588,0.529412,0.323529,0.411765,1
'FC Bayern Munchen','1860 Munchen',4,3,S,1,10,0.676471,0.735294,0.352941,0.441176,1
'VfL Bochum','Borussia Dortmund',4,3,U,9,3,0.352941,0.441176,0.441176,0.568627,1
'SV Werder Bremen','1. FC Nurnberg',4,3,S,6,17,0.470588,0.509804,0.235294,0.294118,1
'VfL Wolfsburg','Hamburger SV',4,3,S,8,4,0.382353,0.45098,0.441176,0.54902,1
'1. FC Kaiserslautern','DSC Arminia Bielefeld',4,3,U,14,16,0.294118,0.392157,0.235294,0.352941,1
'Hansa Rostock','Bayer 04 Leverkusen',4,3,N,13,15,0.323529,0.401961,0.323529,0.392157,1
'Hannover 96','FC Energie Cottbus',4,3,N,11,18,0.352941,0.421569,0.205882,0.294118,1
'VfB Stuttgart','FC Schalke 04',4,3,U,2,7,0.5,0.578431,0.352941,0.480392,1
'Borussia Monchengladbach','Hertha BSC Berlin',4,3,S,12,5,0.323529,0.411765,0.470588,0.529412,2
'1860 Munchen','FC Bayern Munchen',4,3,N,10,1,0.352941,0.441176,0.676471,0.735294,2
'Borussia Dortmund','VfL Bochum',4,3,U,3,9,0.441176,0.568627,0.352941,0.441176,2
'1. FC Nurnberg','SV Werder Bremen',4,3,N,17,6,0.235294,0.294118,0.470588,0.509804,2
'Hamburger SV','VfL Wolfsburg',4,3,N,4,8,0.441176,0.54902,0.382353,0.45098,2
'DSC Arminia Bielefeld','1. FC Kaiserslautern',4,3,U,16,14,0.235294,0.352941,0.294118,0.392157,2
'Bayer 04 Leverkusen','Hansa Rostock',4,3,S,15,13,0.323529,0.392157,0.323529,0.401961,2
'FC Energie Cottbus','Hannover 96',4,3,S,18,11,0.205882,0.294118,0.352941,0.421569,2
'FC Schalke 04','VfB Stuttgart',4,3,U,7,2,0.352941,0.480392,0.5,0.578431,2
'1860 Munchen','VfL Wolfsburg',5,3,U,10,8,0.352941,0.441176,0.382353,0.45098,1
'1. FC Nurnberg','FC Bayern Munchen',5,3,N,17,1,0.235294,0.294118,0.676471,0.735294,1
'FC Energie Cottbus','SV Werder Bremen',5,3,N,18,6,0.205882,0.294118,0.470588,0.509804,1
'Borussia Monchengladbach','VfB Stuttgart',5,3,U,12,2,0.323529,0.411765,0.5,0.578431,1
'Bayer 04 Leverkusen','Hannover 96',5,3,N,15,11,0.323529,0.392157,0.352941,0.421569,1
'Borussia Dortmund','FC Schalke 04',5,3,U,3,7,0.441176,0.568627,0.352941,0.480392,1
'DSC Arminia Bielefeld','Hertha BSC Berlin',5,3,N,16,5,0.235294,0.352941,0.470588,0.529412,1
'Hamburger SV','1. FC Kaiserslautern',5,3,S,4,14,0.441176,0.54902,0.294118,0.392157,1
'VfL Bochum','Hansa Rostock',5,3,N,9,13,0.352941,0.441176,0.323529,0.401961,1
'VfL Wolfsburg','1860 Munchen',5,3,U,8,10,0.382353,0.45098,0.352941,0.441176,2
'FC Bayern Munchen','1. FC Nurnberg',5,3,S,1,17,0.676471,0.735294,0.235294,0.294118,2
'SV Werder Bremen','FC Energie Cottbus',5,3,S,6,18,0.470588,0.509804,0.205882,0.294118,2
'VfB Stuttgart','Borussia Monchengladbach',5,3,U,2,12,0.5,0.578431,0.323529,0.411765,2
'Hannover 96','Bayer 04 Leverkusen',5,3,S,11,15,0.352941,0.421569,0.323529,0.392157,2
'FC Schalke 04','Borussia Dortmund',5,3,U,7,3,0.352941,0.480392,0.441176,0.568627,2
'Hertha BSC Berlin','DSC Arminia Bielefeld',5,3,S,5,16,0.470588,0.529412,0.235294,0.352941,2
'1. FC Kaiserslautern','Hamburger SV',5,3,N,14,4,0.294118,0.392157,0.441176,0.54902,2
'Hansa Rostock','VfL Bochum',5,3,S,13,9,0.323529,0.401961,0.352941,0.441176,2
'FC Bayern Munchen','FC Energie Cottbus',6,3,S,1,18,0.676471,0.735294,0.205882,0.294118,1
'Hannover 96','VfL Bochum',6,3,U,11,9,0.352941,0.421569,0.352941,0.441176,1
'Hansa Rostock','Borussia Dortmund',6,3,N,13,3,0.323529,0.401961,0.441176,0.568627,1
'VfL Wolfsburg','1. FC Nurnberg',6,3,N,8,17,0.382353,0.45098,0.235294,0.294118,1
'Hertha BSC Berlin','Hamburger SV',6,3,S,5,4,0.470588,0.529412,0.441176,0.54902,1
'SV Werder Bremen','Bayer 04 Leverkusen',6,3,S,6,15,0.470588,0.509804,0.323529,0.392157,1
'1. FC Kaiserslautern','1860 Munchen',6,3,U,14,10,0.294118,0.392157,0.352941,0.441176,1
'FC Schalke 04','Borussia Monchengladbach',6,3,S,7,12,0.352941,0.480392,0.323529,0.411765,1
'VfB Stuttgart','DSC Arminia Bielefeld',6,3,S,2,16,0.5,0.578431,0.235294,0.352941,1
'FC Energie Cottbus','FC Bayern Munchen',6,3,N,18,1,0.205882,0.294118,0.676471,0.735294,2
'VfL Bochum','Hannover 96',6,3,U,9,11,0.352941,0.441176,0.352941,0.421569,2
'Borussia Dortmund','Hansa Rostock',6,3,S,3,13,0.441176,0.568627,0.323529,0.401961,2
'1. FC Nurnberg','VfL Wolfsburg',6,3,S,17,8,0.235294,0.294118,0.382353,0.45098,2
'Hamburger SV','Hertha BSC Berlin',6,3,N,4,5,0.441176,0.54902,0.470588,0.529412,2
'Bayer 04 Leverkusen','SV Werder Bremen',6,3,N,15,6,0.323529,0.392157,0.470588,0.509804,2
'1860 Munchen','1. FC Kaiserslautern',6,3,U,10,14,0.352941,0.441176,0.294118,0.392157,2
'Borussia Monchengladbach','FC Schalke 04',6,3,N,12,7,0.323529,0.411765,0.352941,0.480392,2
'DSC Arminia Bielefeld','VfB Stuttgart',6,3,N,16,2,0.235294,0.352941,0.5,0.578431,2
'Hansa Rostock','Hannover 96',7,3,N,13,11,0.323529,0.401961,0.352941,0.421569,1
'DSC Arminia Bielefeld','FC Schalke 04',7,3,S,16,7,0.235294,0.352941,0.352941,0.480392,1
'Hamburger SV','VfB Stuttgart',7,3,S,4,2,0.441176,0.54902,0.5,0.578431,1
'FC Energie Cottbus','VfL Wolfsburg',7,3,N,18,8,0.205882,0.294118,0.382353,0.45098,1
'1860 Munchen','Hertha BSC Berlin',7,3,S,10,5,0.352941,0.441176,0.470588,0.529412,1
'Borussia Dortmund','Borussia Monchengladbach',7,3,S,3,12,0.441176,0.568627,0.323529,0.411765,1
'Bayer 04 Leverkusen','FC Bayern Munchen',7,3,S,15,1,0.323529,0.392157,0.676471,0.735294,1
'VfL Bochum','SV Werder Bremen',7,3,N,9,6,0.352941,0.441176,0.470588,0.509804,1
'1. FC Nurnberg','1. FC Kaiserslautern',7,3,S,17,14,0.235294,0.294118,0.294118,0.392157,1
'Hannover 96','Hansa Rostock',7,3,S,11,13,0.352941,0.421569,0.323529,0.401961,2
'FC Schalke 04','DSC Arminia Bielefeld',7,3,N,7,16,0.352941,0.480392,0.235294,0.352941,2
'VfB Stuttgart','Hamburger SV',7,3,N,2,4,0.5,0.578431,0.441176,0.54902,2
'VfL Wolfsburg','FC Energie Cottbus',7,3,S,8,18,0.382353,0.45098,0.205882,0.294118,2
'Hertha BSC Berlin','1860 Munchen',7,3,N,5,10,0.470588,0.529412,0.352941,0.441176,2
'Borussia Monchengladbach','Borussia Dortmund',7,3,N,12,3,0.323529,0.411765,0.441176,0.568627,2
'FC Bayern Munchen','Bayer 04 Leverkusen',7,3,N,1,15,0.676471,0.735294,0.323529,0.392157,2
'SV Werder Bremen','VfL Bochum',7,3,S,6,9,0.470588,0.509804,0.352941,0.441176,2
'1. FC Kaiserslautern','1. FC Nurnberg',7,3,N,14,17,0.294118,0.392157,0.235294,0.294118,2
'Hertha BSC Berlin','1. FC Nurnberg',8,3,S,5,17,0.470588,0.529412,0.235294,0.294118,1
'FC Bayern Munchen','VfL Bochum',8,3,S,1,9,0.676471,0.735294,0.352941,0.441176,1
'VfL Wolfsburg','Bayer 04 Leverkusen',8,3,S,8,15,0.382353,0.45098,0.323529,0.392157,1
'FC Schalke 04','Hamburger SV',8,3,S,7,4,0.352941,0.480392,0.441176,0.54902,1
'Borussia Monchengladbach','DSC Arminia Bielefeld',8,3,S,12,16,0.323529,0.411765,0.235294,0.352941,1
'1. FC Kaiserslautern','FC Energie Cottbus',8,3,S,14,18,0.294118,0.392157,0.205882,0.294118,1
'Hannover 96','Borussia Dortmund',8,3,N,11,3,0.352941,0.421569,0.441176,0.568627,1
'VfB Stuttgart','1860 Munchen',8,3,S,2,10,0.5,0.578431,0.352941,0.441176,1
'SV Werder Bremen','Hansa Rostock',8,3,U,6,13,0.470588,0.509804,0.323529,0.401961,1
'1. FC Nurnberg','Hertha BSC Berlin',8,3,N,17,5,0.235294,0.294118,0.470588,0.529412,2
'VfL Bochum','FC Bayern Munchen',8,3,N,9,1,0.352941,0.441176,0.676471,0.735294,2
'Bayer 04 Leverkusen','VfL Wolfsburg',8,3,N,15,8,0.323529,0.392157,0.382353,0.45098,2
'Hamburger SV','FC Schalke 04',8,3,N,4,7,0.441176,0.54902,0.352941,0.480392,2
'DSC Arminia Bielefeld','Borussia Monchengladbach',8,3,N,16,12,0.235294,0.352941,0.323529,0.411765,2
'FC Energie Cottbus','1. FC Kaiserslautern',8,3,N,18,14,0.205882,0.294118,0.294118,0.392157,2
'Borussia Dortmund','Hannover 96',8,3,S,3,11,0.441176,0.568627,0.352941,0.421569,2
'1860 Munchen','VfB Stuttgart',8,3,N,10,2,0.352941,0.441176,0.5,0.578431,2
'Hansa Rostock','SV Werder Bremen',8,3,U,13,6,0.323529,0.401961,0.470588,0.509804,2
'Bayer 04 Leverkusen','1. FC Kaiserslautern',9,3,S,15,14,0.323529,0.392157,0.294118,0.392157,1
'1860 Munchen','FC Schalke 04',9,3,S,10,7,0.352941,0.441176,0.352941,0.480392,1
'Hansa Rostock','FC Bayern Munchen',9,3,N,13,1,0.323529,0.401961,0.676471,0.735294,1
'Borussia Dortmund','DSC Arminia Bielefeld',9,3,U,3,16,0.441176,0.568627,0.235294,0.352941,1
'Hannover 96','SV Werder Bremen',9,3,U,11,6,0.352941,0.421569,0.470588,0.509804,1
'FC Energie Cottbus','Hertha BSC Berlin',9,3,N,18,5,0.205882,0.294118,0.470588,0.529412,1
'Hamburger SV','Borussia Monchengladbach',9,3,S,4,12,0.441176,0.54902,0.323529,0.411765,1
'1. FC Nurnberg','VfB Stuttgart',9,3,N,17,2,0.235294,0.294118,0.5,0.578431,1
'VfL Bochum','VfL Wolfsburg',9,3,S,9,8,0.352941,0.441176,0.382353,0.45098,1
'1. FC Kaiserslautern','Bayer 04 Leverkusen',9,3,N,14,15,0.294118,0.392157,0.323529,0.392157,2
'FC Schalke 04','1860 Munchen',9,3,N,7,10,0.352941,0.480392,0.352941,0.441176,2
'FC Bayern Munchen','Hansa Rostock',9,3,S,1,13,0.676471,0.735294,0.323529,0.401961,2
'DSC Arminia Bielefeld','Borussia Dortmund',9,3,U,16,3,0.235294,0.352941,0.441176,0.568627,2
'SV Werder Bremen','Hannover 96',9,3,U,6,11,0.470588,0.509804,0.352941,0.421569,2
'Hertha BSC Berlin','FC Energie Cottbus',9,3,S,5,18,0.470588,0.529412,0.205882,0.294118,2
'Borussia Monchengladbach','Hamburger SV',9,3,N,12,4,0.323529,0.411765,0.441176,0.54902,2
'VfB Stuttgart','1. FC Nurnberg',9,3,S,2,17,0.5,0.578431,0.235294,0.294118,2
'VfL Wolfsburg','VfL Bochum',9,3,N,8,9,0.382353,0.45098,0.352941,0.441176,2
'Hertha BSC Berlin','Bayer 04 Leverkusen',10,3,U,5,15,0.470588,0.529412,0.323529,0.392157,1
'SV Werder Bremen','Borussia Dortmund',10,3,N,6,3,0.470588,0.509804,0.441176,0.568627,1
'FC Schalke 04','1. FC Nurnberg',10,3,U,7,17,0.352941,0.480392,0.235294,0.294118,1
'FC Bayern Munchen','Hannover 96',10,3,U,1,11,0.676471,0.735294,0.352941,0.421569,1
'VfB Stuttgart','FC Energie Cottbus',10,3,U,2,18,0.5,0.578431,0.205882,0.294118,1
'DSC Arminia Bielefeld','Hamburger SV',10,3,S,16,4,0.235294,0.352941,0.441176,0.54902,1
'Borussia Monchengladbach','1860 Munchen',10,3,N,12,10,0.323529,0.411765,0.352941,0.441176,1
'VfL Wolfsburg','Hansa Rostock',10,3,S,8,13,0.382353,0.45098,0.323529,0.401961,1
'1. FC Kaiserslautern','VfL Bochum',10,3,N,14,9,0.294118,0.392157,0.352941,0.441176,1
'Bayer 04 Leverkusen','Hertha BSC Berlin',10,3,U,15,5,0.323529,0.392157,0.470588,0.529412,2
'Borussia Dortmund','SV Werder Bremen',10,3,S,3,6,0.441176,0.568627,0.470588,0.509804,2
'1. FC Nurnberg','FC Schalke 04',10,3,U,17,7,0.235294,0.294118,0.352941,0.480392,2
